S. No.,area_type,availability,location,size,society,total_sqft,bath,balcony,price,bedrooms
22,Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3.0,1.0,12200000,3.0
23,Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800,5.0,2.0,38000000,4.0
24,Super built-up  Area,Ready To Move,Bellandur,3 BHK,,1767,3.0,1.0,10300000,3.0
25,Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,1.0,0.0,2525000,1.0
26,Super built-up  Area,18-May,Mangammanapalya,3 BHK,,1250,3.0,2.0,5600000,3.0
27,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,2310000,2.0
28,Built-up  Area,20-Dec,Whitefield,3 BHK,,1610,3.0,2.0,8100000,3.0
29,Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,2.0,4877000,2.0
30,Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2.0,1.0,4700000,3.0
31,Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100 - 2850,4.0,0.0,18600000,4.0
32,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,3500000,3.0
33,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2.0,2.0,12300000,3.0
34,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,3.0,5739000,3.0
35,Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3.0,,12500000,3.0
36,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,3600000,2.0
37,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1070,2.0,1.0,4550000,2.0
38,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3.0,2.0,12500000,3.0
39,Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1290,2.0,2.0,5612000,3.0
40,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1143,2.0,2.0,4500000,2.0
41,Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2.0,,8100000,2.0
42,Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3.0,2.0,3800000,3.0
43,Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1.0,0.0,3800000,1.0
44,Plot  Area,Ready To Move,Yelahanka,1 Bedroom,,660,1.0,0.0,4800000,1.0
45,Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2.0,2.0,9179000,2.0
46,Plot  Area,Ready To Move,HSR Layout,8 Bedroom,,600,9.0,,20000000,8.0
47,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2.0,0.0,3300000,2.0
48,Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2.0,1.0,9482000,2.0
49,Plot  Area,Ready To Move,KR Puram,2 Bedroom,,800,1.0,1.0,13000000,2.0
50,Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,,869,2.0,1.0,3600000,2.0
51,Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2.0,1.0,5000000,2.0
52,Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,3.0,1.0,9900000,3.0
53,Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3.0,2.0,9100000,3.0
54,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2.0,2.0,7500000,2.0
55,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2.0,3.0,7500000,3.0
56,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,4400000,2.0
57,Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3010 - 3410,,,19200000,4.0
58,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2.0,2.0,18500000,2.0
59,Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,,1407,4.0,1.0,15000000,6.0
60,Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,,840,2.0,2.0,4500000,2.0
61,Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,,4395,3.0,2.0,24000000,3.0
62,Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2.0,1.0,5500000,2.0
63,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5.0,3.0,65000000,4.0
64,Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2.0,2.0,4400000,2.0
65,Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,,3000,8.0,0.0,14000000,8.0
66,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,,1100,2.0,1.0,6200000,2.0
67,Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2.0,3.0,4300000,2.0
68,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1220,2.0,1.0,5700000,2.0
69,Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,,1350,7.0,0.0,8500000,8.0
70,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1005,2.0,1.0,3668000,2.0
71,Plot  Area,Ready To Move,Double Road,3 Bedroom,,500,3.0,2.0,10000000,3.0
72,Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,2.0,1.0,8058000,2.0
73,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,3.0,1.0,10100000,3.0
74,Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2.0,1.0,7000000,2.0
75,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3.0,2.0,14000000,3.0
76,Super built-up  Area,Ready To Move,Kothannur,2 BHK,,1206,2.0,1.0,4823000,2.0
77,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,2.0,3.0,4000000,2.0
78,Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3.0,3.0,20500000,3.0
79,Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,460,1.0,0.0,2200000,2.0
80,Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,,4400,6.0,3.0,25000000,6.0
81,Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2.0,2.0,10500000,3.0
82,Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,2957 - 3450,,,22450000,4.0
83,Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2.0,2.0,7800000,2.0
84,Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,,1325,2.0,2.0,6080000,3.0
85,Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,5.0,2.0,10200000,3.0
86,Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,,3000,7.0,2.0,21000000,6.0
87,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1665,3.0,2.0,8800000,3.0
88,Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2.0,2.0,3700000,2.0
89,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2.0,2.0,5806000,2.0
90,Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,,710,6.0,3.0,16000000,6.0
91,Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,2.0,2.0,7000000,2.0
92,Super built-up  Area,18-Dec,Electronic City,2 BHK,,1000,2.0,1.0,2888000,2.0
93,Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,,1450,2.0,2.0,7000000,3.0
94,Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,,1200,4.0,2.0,15500000,4.0
95,Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,2.0,3.0,8000000,2.0
96,Super built-up  Area,Ready To Move,Domlur,3 BHK,,1540,3.0,2.0,9000000,3.0
97,Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894,4.0,1.0,24500000,4.0
98,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,,1330,2.0,1.0,4800000,3.0
99,Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,,1200,2.0,1.0,6500000,2.0
100,Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,,1200,3.0,1.0,9000000,3.0
101,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2502,3.0,3.0,13800000,3.0
102,Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650,1.0,1.0,1700000,2.0
103,Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400,2.0,1.0,15000000,3.0
104,Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007,2.0,2.0,4300000,2.0
105,Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200,2.0,2.0,5000000,2.0
106,Super built-up  Area,Ready To Move,Peenya,2 BHK,,966,2.0,2.0,4990000,2.0
107,Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,,1630,2.0,1.0,9800000,3.0
108,Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,2.0,22900000,3.0
109,Built-up  Area,Ready To Move,Jalahalli West,2 BHK,,782,2.0,2.0,5568000,2.0
110,Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260,2.0,2.0,6678000,2.0
111,Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,,1800,3.0,3.0,12000000,3.0
112,Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413,2.0,2.0,7500000,3.0
113,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2.0,1.0,5191000,2.0
114,Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530,2.0,1.0,4590000,3.0
115,Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,3700,4.0,1.0,22500000,4.0
116,Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497,3.0,2.0,14000000,3.0
117,Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540,2.0,3.0,6400000,3.0
118,Super built-up  Area,18-Dec,Thanisandra,3 BHK,,1436,3.0,1.0,7475000,3.0
119,Super built-up  Area,18-Jun,Malleshwaram,2 BHK,,1100,2.0,2.0,7500000,2.0
120,Plot  Area,Ready To Move,Hennur Road,2 Bedroom,,276,3.0,3.0,2300000,2.0
121,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427,3.0,2.0,12000000,3.0
122,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,3.0,1.0,20000000,3.0
123,Super built-up  Area,18-Mar,Hebbal,4 BHK,SNontle,3067 - 8156,4.0,0.0,47700000,4.0
124,Built-up  Area,Ready To Move,Shampura,4 BHK,,2650,4.0,2.0,15000000,4.0
125,Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282,2.0,2.0,6852000,3.0
126,Built-up  Area,Ready To Move,Kadugodi,2 BHK,,1050,2.0,1.0,3400000,2.0
127,Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600,3.0,2.0,6500000,3.0
128,Super built-up  Area,22-Jan,Vajarahalli,2 BHK,,945,2.0,1.0,5400000,2.0
129,Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500,2.0,1.0,7800000,2.0
130,Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,,950,7.0,0.0,11500000,7.0
131,Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870,3.0,3.0,11000000,3.0
132,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600,3.0,1.0,7500000,3.0
133,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,1.0,1.0,1650000,2.0
134,Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,,1200,4.0,0.0,21000000,4.0
135,Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3.0,2.0,8300000,3.0
136,Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2.0,1.0,5700000,2.0
137,Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360,2.0,1.0,6500000,2.0
138,Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1042 - 1105,2.0,0.0,5400500,2.0
139,Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,,1280,3.0,1.0,5040000,3.0
140,Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2.0,2.0,8505000,3.0
141,Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,,5000,8.0,,25000000,8.0
142,Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050,5.0,1.0,21300000,5.0
143,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3.0,1.0,10500000,3.0
144,Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,,1000,2.0,1.0,6000000,2.0
145,Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167,2.0,1.0,4376000,2.0
146,Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,,4000,7.0,2.0,22500000,7.0
147,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828,3.0,,11000000,3.0
148,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890,2.0,1.0,3500000,2.0
149,Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612,3.0,3.0,4674000,3.0
150,Plot  Area,Ready To Move,Dinnur,6 Bedroom,,1034,5.0,,18500000,6.0
151,Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710,4.0,2.0,9131000,3.0
152,Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2.0,1.0,5800000,2.0
153,Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,,1250,2.0,3.0,4400000,3.0
154,Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2795,4.0,,23500000,3.0
155,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125,2.0,2.0,5000000,2.0
156,Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020,2.0,1.0,3060000,2.0
157,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1200,2.0,2.0,5000000,2.0
158,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735,3.0,3.0,13500000,3.0
159,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050,3.0,1.0,14500000,3.0
160,Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,3750,4.0,0.0,76000000,4.0
161,Built-up  Area,Ready To Move,Yarandahalli,3 BHK,,1350,2.0,3.0,4800000,3.0
162,Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2.0,1.0,3200000,2.0
163,Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3.0,1.0,15000000,3.0
164,Built-up  Area,Ready To Move,Whitefield,4 Bedroom,,4200,4.0,2.0,42000000,4.0
165,Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000,3.0,1.0,17500000,3.0
166,Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1145 - 1340,2.0,0.0,4349000,2.0
167,Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425,2.0,2.0,7500000,3.0
168,Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2.0,1.0,6450000,3.0
169,Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2.0,1.0,6000000,2.0
170,Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470,2.0,2.0,7000000,3.0
171,Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,,1300,6.0,0.0,9900000,6.0
172,Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450,1.0,1.0,1100000,1.0
173,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152,2.0,1.0,6450000,2.0
174,Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350,2.0,1.0,5600000,3.0
175,Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550,3.0,3.0,6500000,3.0
176,Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,,1500,3.0,2.0,10000000,3.0
177,Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,,600,3.0,2.0,8500000,5.0
178,Plot  Area,Ready To Move,Nagavara,1 Bedroom,,400,1.0,0.0,1400000,1.0
179,Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,705,1.0,2.0,6700000,1.0
180,Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,3600000,2.0
181,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona ,1242,2.0,3.0,5100000,2.0
182,Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1700,3.0,2.0,15500000,3.0
183,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144,3.0,2.0,14500000,3.0
184,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1704,3.0,2.0,11000000,3.0
185,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,5200000,2.0
186,Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,,1846,3.0,2.0,30000000,3.0
187,Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,1340,2.0,2.0,5570000,2.0
188,Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025,2.0,1.0,4600000,2.0
189,Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1015 - 1540,2.0,0.0,5680000,2.0
190,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1200,2.0,2.0,5200000,2.0
191,Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,,2250,4.0,1.0,11000000,4.0
192,Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1550,2.0,3.0,8000000,3.0
193,Plot  Area,Ready To Move,Bellandur,4 Bedroom,,1200,5.0,,32500000,4.0
194,Plot  Area,Ready To Move,Ejipura,7 Bedroom,,1800,7.0,1.0,25000000,7.0
195,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1200,2.0,2.0,6000000,2.0
196,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327,2.0,2.0,9800000,2.0
197,Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1186,2.0,2.0,5800000,2.0
198,Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,,1783,3.0,1.0,11500000,3.0
199,Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,1400,3.0,2.0,5600000,3.0
200,Super built-up  Area,Ready To Move,Nagasandra,2 BHK,,980,2.0,1.0,4800000,2.0
201,Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,,1285,2.0,2.0,8200000,2.0
202,Super built-up  Area,Ready To Move,Langford Town,3 BHK,,912,2.0,1.0,7000000,3.0
203,Built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1225,2.0,2.0,4760000,2.0
204,Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1075,2.0,1.0,5300000,2.0
205,Built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,1260,2.0,2.0,5400000,3.0
206,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1282,2.0,2.0,4870000,3.0
207,Super built-up  Area,Ready To Move,Kogilu,3 BHK,CaIRSCr,1909,3.0,2.0,8800000,3.0
208,Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1359,2.0,1.0,8700000,2.0
209,Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,,1207,2.0,2.0,4350000,2.0
210,Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,,1736,6.0,0.0,19000000,4.0
211,Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,,2850,4.0,1.0,42800000,4.0
212,Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Emstael,1595,3.0,2.0,6500000,3.0
213,Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,,1798,3.0,2.0,8900000,3.0
214,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1475,3.0,2.0,7829000,3.0
215,Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,HodhiSa,1580,3.0,3.0,10000000,3.0
216,Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1295,2.0,1.0,6500000,2.0
217,Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,,3600,6.0,0.0,14100000,6.0
218,Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589,1.0,1.0,2700000,1.0
219,Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,,1415,3.0,3.0,7800000,3.0
220,Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,1787,3.0,2.0,9829000,3.0
221,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1787,3.0,2.0,12500000,3.0
222,Super built-up  Area,Ready To Move,Koramangala,3 BHK,Piityra,1475,2.0,3.0,9000000,3.0
223,Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,,2000,4.0,1.0,7550000,4.0
224,Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,AsastDe,984,2.0,1.0,4428000,2.0
225,Super built-up  Area,19-Dec,Devanahalli,3 BHK,Jurdsig,1520 - 1740,,,7481999,3.0
226,Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,MacleK ,2405,4.0,2.0,26000000,3.0
227,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080,2.0,2.0,7200000,2.0
228,Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,,1500,2.0,1.0,11500000,2.0
229,Super built-up  Area,Ready To Move,Hebbal,3 BHK,,1900,3.0,2.0,11900000,3.0
230,Super built-up  Area,19-Aug,Dommasandra,2 BHK,,805,2.0,1.0,2214000,2.0
231,Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2.0,2.0,5640000,2.0
232,Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,1148,2.0,2.0,6000000,2.0
233,Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110,2.0,2.0,5500000,2.0
234,Built-up  Area,Ready To Move,Electronic City,2 BHK,Saave R,1100,2.0,2.0,4200000,2.0
235,Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Anave S,1290,2.0,2.0,11000000,2.0
236,Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,,1500,2.0,1.0,6500000,3.0
237,Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,,1080,2.0,2.0,3900000,2.0
238,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1933,3.0,1.0,12900000,3.0
239,Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,,3500,5.0,2.0,15000000,5.0
240,Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,,1060,2.0,2.0,6000000,2.0
241,Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645,1.0,1.0,1645000,1.0
242,Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,,2600,8.0,2.0,18000000,8.0
243,Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,645,1.0,1.0,1645000,1.0
244,Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1644,3.0,3.0,8400000,3.0
245,Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,Supams ,1285,2.0,3.0,7250000,2.0
246,Plot  Area,Ready To Move,Electronic City,3 Bedroom,,1200,3.0,1.0,9000000,3.0
247,Super built-up  Area,Ready To Move,Electronic City,2 BHK,CoapeSo,910,2.0,1.0,4000000,2.0
248,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Bisic C,1577,3.0,1.0,7000000,3.0
249,Plot  Area,17-May,Meenakunte,3 Bedroom,Sreat R,4050,3.0,2.0,28000000,3.0
250,Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,Inntsa ,2420,3.0,2.0,18500000,3.0
251,Super built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,800,1.0,1.0,2000000,2.0
252,Built-up  Area,Ready To Move,Anand Nagar,2 BHK,,1060,2.0,2.0,5500000,2.0
253,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1270,2.0,2.0,9300000,2.0
